2100: {'eps': 0.7466594429963713, 'gfn_loss': 1.8436672687530518, 'ql_loss': 0.008278017863631248, 'states_visited': 33616, 'avg_traj_length': 6.625, 'avg_reward': 0.22874999046325684, 'max_traj_length': 24.0, 'max_reward': 0.5099999904632568, 'l1_dist': 0.0004165407153777778}
2200: {'eps': 0.7377486453075807, 'gfn_loss': 0.3921744227409363, 'ql_loss': 0.014981099404394627, 'states_visited': 35216, 'avg_traj_length': 3.8125, 'avg_reward': 0.32249999046325684, 'max_traj_length': 8.0, 'max_reward': 0.5099999904632568, 'l1_dist': 0.00041592904017306864}
2300: {'eps': 0.7260327850203407, 'gfn_loss': 0.6322541236877441, 'ql_loss': 0.011178214102983475, 'states_visited': 36816, 'avg_traj_length': 3.5625, 'avg_reward': 0.38499999046325684, 'max_traj_length': 10.0, 'max_reward': 0.5099999904632568, 'l1_dist': 0.00041541288373991847}
2400: {'eps': 0.7123616129911045, 'gfn_loss': 0.625109851360321, 'ql_loss': 0.007691082078963518, 'states_visited': 38416, 'avg_traj_length': 5.6875, 'avg_reward': 0.29124999046325684, 'max_traj_length': 17.0, 'max_reward': 0.5099999904632568, 'l1_dist': 0.0004146725405007601}
2500: {'eps': 0.7010489129476946, 'gfn_loss': 2.3175601959228516, 'ql_loss': 0.11863552033901215, 'states_visited': 40016, 'avg_traj_length': 3.75, 'avg_reward': 0.44749999046325684, 'max_traj_length': 11.0, 'max_reward': 2.509999990463257, 'l1_dist': 0.0004139505617786199}
2600: {'eps': 0.6899158648955466, 'gfn_loss': 0.49181753396987915, 'ql_loss': 0.012754986993968487, 'states_visited': 41616, 'avg_traj_length': 3.5625, 'avg_reward': 0.38499999046325684, 'max_traj_length': 10.0, 'max_reward': 0.5099999904632568, 'l1_dist': 0.0004135695635341108}
2700: {'eps': 0.6796392551158754, 'gfn_loss': 1.4399614334106445, 'ql_loss': 0.007519896607846022, 'states_visited': 43216, 'avg_traj_length': 6.5625, 'avg_reward': 0.32249999046325684, 'max_traj_length': 20.0, 'max_reward': 0.5099999904632568, 'l1_dist': 0.0004133068723604083}
2800: {'eps': 0.6641783033340387, 'gfn_loss': 0.3468669056892395, 'ql_loss': 0.011926623061299324, 'states_visited': 44816, 'avg_traj_length': 5.375, 'avg_reward': 0.25999999046325684, 'max_traj_length': 12.0, 'max_reward': 0.5099999904632568, 'l1_dist': 0.00041294406400993466}
2900: {'eps': 0.6516718490384363, 'gfn_loss': 1.2004096508026123, 'ql_loss': 0.01352174673229456, 'states_visited': 46416, 'avg_traj_length': 4.75, 'avg_reward': 0.32249999046325684, 'max_traj_length': 12.0, 'max_reward': 0.5099999904632568, 'l1_dist': 0.0004125426639802754}
3000: {'eps': 0.6368471211262058, 'gfn_loss': 0.5549950003623962, 'ql_loss': 0.009450426325201988, 'states_visited': 48016, 'avg_traj_length': 4.9375, 'avg_reward': 0.38499999046325684, 'max_traj_length': 18.0, 'max_reward': 0.5099999904632568, 'l1_dist': 0.0004124291008338332}
3100: {'eps': 0.6242304567266527, 'gfn_loss': 0.7567821145057678, 'ql_loss': 0.09475284814834595, 'states_visited': 49616, 'avg_traj_length': 4.875, 'avg_reward': 0.41624999046325684, 'max_traj_length': 11.0, 'max_reward': 2.509999990463257, 'l1_dist': 0.00041202016291208565}
3200: {'eps': 0.6106406271491208, 'gfn_loss': 0.6870033740997314, 'ql_loss': 0.010450340807437897, 'states_visited': 51216, 'avg_traj_length': 5.75, 'avg_reward': 0.29124999046325684, 'max_traj_length': 18.0, 'max_reward': 0.5099999904632568, 'l1_dist': 0.0004117055796086788}
3300: {'eps': 0.5937715237303958, 'gfn_loss': 0.893887460231781, 'ql_loss': 0.08787337690591812, 'states_visited': 52816, 'avg_traj_length': 4.5625, 'avg_reward': 0.5412499904632568, 'max_traj_length': 13.0, 'max_reward': 2.509999990463257, 'l1_dist': 0.00041126151336357}
3400: {'eps': 0.5756380598328571, 'gfn_loss': 0.9301763772964478, 'ql_loss': 0.01824534870684147, 'states_visited': 54416, 'avg_traj_length': 7.625, 'avg_reward': 0.41624999046325684, 'max_traj_length': 28.0, 'max_reward': 0.5099999904632568, 'l1_dist': 0.0004104015533812344}
3500: {'eps': 0.5575003238156504, 'gfn_loss': 1.0564366579055786, 'ql_loss': 0.0874163880944252, 'states_visited': 56016, 'avg_traj_length': 4.8125, 'avg_reward': 0.41624999046325684, 'max_traj_length': 15.0, 'max_reward': 2.509999990463257, 'l1_dist': 0.00040938472375273705}
3600: {'eps': 0.5350940738940482, 'gfn_loss': 0.6619319319725037, 'ql_loss': 0.01048182975500822, 'states_visited': 57616, 'avg_traj_length': 6.375, 'avg_reward': 0.22874999046325684, 'max_traj_length': 20.0, 'max_reward': 0.5099999904632568, 'l1_dist': 0.00040861545130610466}
3700: {'eps': 0.5135883436925301, 'gfn_loss': 0.9846637845039368, 'ql_loss': 0.00827438198029995, 'states_visited': 59216, 'avg_traj_length': 6.75, 'avg_reward': 0.29124999046325684, 'max_traj_length': 20.0, 'max_reward': 0.5099999904632568, 'l1_dist': 0.0004073695745319128}
3800: {'eps': 0.49541908701565013, 'gfn_loss': 0.5725595951080322, 'ql_loss': 0.004994508810341358, 'states_visited': 60816, 'avg_traj_length': 8.5625, 'avg_reward': 0.16624999046325684, 'max_traj_length': 18.0, 'max_reward': 0.5099999904632568, 'l1_dist': 0.00040605958201922476}
3900: {'eps': 0.47789260561247826, 'gfn_loss': 2.10798978805542, 'ql_loss': 0.018950974568724632, 'states_visited': 62416, 'avg_traj_length': 6.125, 'avg_reward': 0.29124999046325684, 'max_traj_length': 16.0, 'max_reward': 0.5099999904632568, 'l1_dist': 0.00040509772952646017}
4000: {'eps': 0.4523058066495642, 'gfn_loss': 0.7208114862442017, 'ql_loss': 0.0748201534152031, 'states_visited': 64016, 'avg_traj_length': 6.9375, 'avg_reward': 0.38499999046325684, 'max_traj_length': 19.0, 'max_reward': 2.509999990463257, 'l1_dist': 0.0004042095970362425}
4100: {'eps': 0.427233198057808, 'gfn_loss': 0.4542044997215271, 'ql_loss': 0.09034314751625061, 'states_visited': 65616, 'avg_traj_length': 6.1875, 'avg_reward': 0.38499999046325684, 'max_traj_length': 14.0, 'max_reward': 2.509999990463257, 'l1_dist': 0.000403165613533929}
4200: {'eps': 0.40073404349347275, 'gfn_loss': 2.1725499629974365, 'ql_loss': 0.01331937313079834, 'states_visited': 67216, 'avg_traj_length': 7.4375, 'avg_reward': 0.32249999046325684, 'max_traj_length': 20.0, 'max_reward': 0.5099999904632568, 'l1_dist': 0.0004015752929262817}
4300: {'eps': 0.37437723971763814, 'gfn_loss': 2.614377021789551, 'ql_loss': 0.04954790696501732, 'states_visited': 68816, 'avg_traj_length': 10.0, 'avg_reward': 0.22874999046325684, 'max_traj_length': 18.0, 'max_reward': 2.509999990463257, 'l1_dist': 0.0003994839498773217}
4400: {'eps': 0.3522120577707228, 'gfn_loss': 1.8094007968902588, 'ql_loss': 0.329865962266922, 'states_visited': 70416, 'avg_traj_length': 6.9375, 'avg_reward': 0.7912499904632568, 'max_traj_length': 20.0, 'max_reward': 2.509999990463257, 'l1_dist': 0.0003974454302806407}
4500: {'eps': 0.32970569032831953, 'gfn_loss': 4.0218658447265625, 'ql_loss': 0.02426918037235737, 'states_visited': 72016, 'avg_traj_length': 7.9375, 'avg_reward': 0.22874999046325684, 'max_traj_length': 22.0, 'max_reward': 0.5099999904632568, 'l1_dist': 0.0003949468955397606}
4600: {'eps': 0.30925568295888084, 'gfn_loss': 1.88223135471344, 'ql_loss': 0.018621884286403656, 'states_visited': 73616, 'avg_traj_length': 7.3125, 'avg_reward': 0.19749999046325684, 'max_traj_length': 20.0, 'max_reward': 0.5099999904632568, 'l1_dist': 0.0003924383199773729}
4700: {'eps': 0.2866122801967262, 'gfn_loss': 1.4744542837142944, 'ql_loss': 0.05223112553358078, 'states_visited': 75216, 'avg_traj_length': 9.625, 'avg_reward': 0.38499999046325684, 'max_traj_length': 20.0, 'max_reward': 2.509999990463257, 'l1_dist': 0.0003897210117429495}
4800: {'eps': 0.268029443956713, 'gfn_loss': 2.233579158782959, 'ql_loss': 0.08584069460630417, 'states_visited': 76816, 'avg_traj_length': 7.1875, 'avg_reward': 0.44749999046325684, 'max_traj_length': 16.0, 'max_reward': 2.509999990463257, 'l1_dist': 0.00038693950045853853}
4900: {'eps': 0.24716504527250852, 'gfn_loss': 3.1226487159729004, 'ql_loss': 0.14524953067302704, 'states_visited': 78416, 'avg_traj_length': 13.3125, 'avg_reward': 0.5099999904632568, 'max_traj_length': 27.0, 'max_reward': 2.509999990463257, 'l1_dist': 0.0003835089155472815}
5000: {'eps': 0.22769688338723304, 'gfn_loss': 2.985879898071289, 'ql_loss': 0.12209206819534302, 'states_visited': 80016, 'avg_traj_length': 11.6875, 'avg_reward': 0.29124999046325684, 'max_traj_length': 16.0, 'max_reward': 2.509999990463257, 'l1_dist': 0.0003797771059907973}
5100: {'eps': 0.2089243567285215, 'gfn_loss': 2.9955403804779053, 'ql_loss': 0.09677555412054062, 'states_visited': 81616, 'avg_traj_length': 13.6875, 'avg_reward': 0.47874999046325684, 'max_traj_length': 26.0, 'max_reward': 2.509999990463257, 'l1_dist': 0.0003760074614547193}
5200: {'eps': 0.1913163283665175, 'gfn_loss': 1.388424038887024, 'ql_loss': 0.09999825805425644, 'states_visited': 83216, 'avg_traj_length': 13.125, 'avg_reward': 0.38499999046325684, 'max_traj_length': 26.0, 'max_reward': 2.509999990463257, 'l1_dist': 0.00037213123869150877}
5300: {'eps': 0.1743180835205783, 'gfn_loss': 2.467634677886963, 'ql_loss': 0.23843109607696533, 'states_visited': 84816, 'avg_traj_length': 11.6875, 'avg_reward': 0.6349999904632568, 'max_traj_length': 27.0, 'max_reward': 2.509999990463257, 'l1_dist': 0.0003678823122754693}
5400: {'eps': 0.15994638540462147, 'gfn_loss': 2.6513357162475586, 'ql_loss': 0.08575258404016495, 'states_visited': 86416, 'avg_traj_length': 10.375, 'avg_reward': 0.41624999046325684, 'max_traj_length': 22.0, 'max_reward': 0.5099999904632568, 'l1_dist': 0.00036366304266266525}
