0: {'eps': 1.0, 'loss': 0.03645482286810875, 'states_visited': 16, 'avg_traj_length': 4.4375, 'avg_reward': 0.31349998712539673, 'max_traj_length': 15.0, 'max_reward': 0.5009999871253967, 'l1_dist': 0.0004808095982298255}
100: {'eps': 0.9851045463620021, 'loss': 0.00914798304438591, 'states_visited': 1616, 'avg_traj_length': 4.0625, 'avg_reward': 0.25099998712539673, 'max_traj_length': 12.0, 'max_reward': 0.5009999871253967, 'l1_dist': 0.0004592431942000985}
200: {'eps': 0.9733480924695651, 'loss': 0.00959823839366436, 'states_visited': 3216, 'avg_traj_length': 4.5625, 'avg_reward': 0.28224998712539673, 'max_traj_length': 18.0, 'max_reward': 0.5009999871253967, 'l1_dist': 0.00045875500654801726}
300: {'eps': 0.9578907814534664, 'loss': 0.008061123080551624, 'states_visited': 4816, 'avg_traj_length': 4.0, 'avg_reward': 0.31349998712539673, 'max_traj_length': 15.0, 'max_reward': 0.5009999871253967, 'l1_dist': 0.0004581984831020236}
400: {'eps': 0.9531108968798944, 'loss': 0.006254806183278561, 'states_visited': 6416, 'avg_traj_length': 5.3125, 'avg_reward': 0.25099998712539673, 'max_traj_length': 17.0, 'max_reward': 0.5009999871253967, 'l1_dist': 0.0004588277661241591}
500: {'eps': 0.9445671308589195, 'loss': 0.016389058902859688, 'states_visited': 8016, 'avg_traj_length': 4.625, 'avg_reward': 0.31349998712539673, 'max_traj_length': 14.0, 'max_reward': 0.5009999871253967, 'l1_dist': 0.0004586951108649373}
600: {'eps': 0.9351638519212846, 'loss': 0.009369795210659504, 'states_visited': 9616, 'avg_traj_length': 2.375, 'avg_reward': 0.37599998712539673, 'max_traj_length': 6.0, 'max_reward': 0.5009999871253967, 'l1_dist': 0.00045838727965019643}
700: {'eps': 0.9267809647166116, 'loss': 0.00902351550757885, 'states_visited': 11216, 'avg_traj_length': 4.75, 'avg_reward': 0.25099998712539673, 'max_traj_length': 12.0, 'max_reward': 0.5009999871253967, 'l1_dist': 0.0004582984547596425}
800: {'eps': 0.9221563184394991, 'loss': 0.012607697397470474, 'states_visited': 12816, 'avg_traj_length': 3.375, 'avg_reward': 0.34474998712539673, 'max_traj_length': 9.0, 'max_reward': 0.5009999871253967, 'l1_dist': 0.0004579939413815737}
900: {'eps': 0.9102399514140735, 'loss': 0.010396484285593033, 'states_visited': 14416, 'avg_traj_length': 3.0, 'avg_reward': 0.40724998712539673, 'max_traj_length': 12.0, 'max_reward': 0.5009999871253967, 'l1_dist': 0.000457570276921615}
1000: {'eps': 0.9011784036598737, 'loss': 0.011876439675688744, 'states_visited': 16016, 'avg_traj_length': 4.625, 'avg_reward': 0.18849998712539673, 'max_traj_length': 10.0, 'max_reward': 0.5009999871253967, 'l1_dist': 0.00045738834887742996}
1100: {'eps': 0.8895331192339416, 'loss': 0.013022460043430328, 'states_visited': 17616, 'avg_traj_length': 2.625, 'avg_reward': 0.40724998712539673, 'max_traj_length': 8.0, 'max_reward': 0.5009999871253967, 'l1_dist': 0.00045705438242293894}
1200: {'eps': 0.8815592697443159, 'loss': 0.011526251211762428, 'states_visited': 19216, 'avg_traj_length': 3.8125, 'avg_reward': 0.28224998712539673, 'max_traj_length': 12.0, 'max_reward': 0.5009999871253967, 'l1_dist': 0.00045686354860663414}
1300: {'eps': 0.8719104583701925, 'loss': 0.0769454762339592, 'states_visited': 20816, 'avg_traj_length': 6.625, 'avg_reward': 0.34474995732307434, 'max_traj_length': 20.0, 'max_reward': 2.500999689102173, 'l1_dist': 0.00045666733058169484}
1400: {'eps': 0.857205969570888, 'loss': 0.008649914525449276, 'states_visited': 22416, 'avg_traj_length': 4.5625, 'avg_reward': 0.31349998712539673, 'max_traj_length': 15.0, 'max_reward': 0.5009999871253967, 'l1_dist': 0.0004564149712678045}
1500: {'eps': 0.8427494672348417, 'loss': 0.01266410667449236, 'states_visited': 24016, 'avg_traj_length': 3.5625, 'avg_reward': 0.25099998712539673, 'max_traj_length': 7.0, 'max_reward': 0.5009999871253967, 'l1_dist': 0.000456075940746814}
1600: {'eps': 0.8293661352855802, 'loss': 0.00782159436494112, 'states_visited': 25616, 'avg_traj_length': 3.9375, 'avg_reward': 0.37599998712539673, 'max_traj_length': 20.0, 'max_reward': 0.5009999871253967, 'l1_dist': 0.0004557957872748375}
1700: {'eps': 0.818648829478636, 'loss': 0.011208952404558659, 'states_visited': 27216, 'avg_traj_length': 2.6875, 'avg_reward': 0.31349998712539673, 'max_traj_length': 6.0, 'max_reward': 0.5009999871253967, 'l1_dist': 0.0004556174098979682}
1800: {'eps': 0.8088788946494789, 'loss': 0.015952814370393753, 'states_visited': 28816, 'avg_traj_length': 2.75, 'avg_reward': 0.37599998712539673, 'max_traj_length': 6.0, 'max_reward': 0.5009999871253967, 'l1_dist': 0.00045544636668637395}
1900: {'eps': 0.8024304668606914, 'loss': 0.148905411362648, 'states_visited': 30416, 'avg_traj_length': 3.125, 'avg_reward': 0.532249927520752, 'max_traj_length': 9.0, 'max_reward': 2.500999689102173, 'l1_dist': 0.0004553016915451735}
2000: {'eps': 0.7881088379839447, 'loss': 0.012764831073582172, 'states_visited': 32016, 'avg_traj_length': 2.75, 'avg_reward': 0.46974998712539673, 'max_traj_length': 16.0, 'max_reward': 0.5009999871253967, 'l1_dist': 0.000454954628366977}
2100: {'eps': 0.7763695993260584, 'loss': 0.011178303509950638, 'states_visited': 33616, 'avg_traj_length': 4.25, 'avg_reward': 0.31349998712539673, 'max_traj_length': 9.0, 'max_reward': 0.5009999871253967, 'l1_dist': 0.0004546312557067722}
2200: {'eps': 0.7655707927460921, 'loss': 0.1233491599559784, 'states_visited': 35216, 'avg_traj_length': 3.5, 'avg_reward': 0.46974995732307434, 'max_traj_length': 15.0, 'max_reward': 2.500999689102173, 'l1_dist': 0.0004544543335214257}
2300: {'eps': 0.7549221906868242, 'loss': 0.008702190592885017, 'states_visited': 36816, 'avg_traj_length': 4.3125, 'avg_reward': 0.31349998712539673, 'max_traj_length': 12.0, 'max_reward': 0.5009999871253967, 'l1_dist': 0.00045430377940647304}
2400: {'eps': 0.7436772821951526, 'loss': 0.007371315732598305, 'states_visited': 38416, 'avg_traj_length': 2.375, 'avg_reward': 0.43849998712539673, 'max_traj_length': 8.0, 'max_reward': 0.5009999871253967, 'l1_dist': 0.00045397525536827743}
2500: {'eps': 0.7333332049215037, 'loss': 0.022747015580534935, 'states_visited': 40016, 'avg_traj_length': 2.8125, 'avg_reward': 0.40724998712539673, 'max_traj_length': 8.0, 'max_reward': 0.5009999871253967, 'l1_dist': 0.0004537660861387849}
2600: {'eps': 0.7260327850203407, 'loss': 0.14661026000976562, 'states_visited': 41616, 'avg_traj_length': 3.3125, 'avg_reward': 0.532249927520752, 'max_traj_length': 9.0, 'max_reward': 2.500999689102173, 'l1_dist': 0.0004534579929895699}
2700: {'eps': 0.7188050416738131, 'loss': 0.010035975836217403, 'states_visited': 43216, 'avg_traj_length': 4.0625, 'avg_reward': 0.37599998712539673, 'max_traj_length': 22.0, 'max_reward': 0.5009999871253967, 'l1_dist': 0.0004532224265858531}
2800: {'eps': 0.7038601331341691, 'loss': 0.014852158725261688, 'states_visited': 44816, 'avg_traj_length': 3.625, 'avg_reward': 0.34474998712539673, 'max_traj_length': 11.0, 'max_reward': 0.5009999871253967, 'l1_dist': 0.00045282457722350955}
2900: {'eps': 0.6823646221455009, 'loss': 0.11244484037160873, 'states_visited': 46416, 'avg_traj_length': 4.5, 'avg_reward': 0.46974995732307434, 'max_traj_length': 18.0, 'max_reward': 2.500999689102173, 'l1_dist': 0.0004521254450082779}
3000: {'eps': 0.6695157201007336, 'loss': 0.14090867340564728, 'states_visited': 48016, 'avg_traj_length': 2.75, 'avg_reward': 0.594749927520752, 'max_traj_length': 9.0, 'max_reward': 2.500999689102173, 'l1_dist': 0.0004518905479926616}
3100: {'eps': 0.6510201771893979, 'loss': 0.007419146131724119, 'states_visited': 49616, 'avg_traj_length': 1.625, 'avg_reward': 0.46974998712539673, 'max_traj_length': 3.0, 'max_reward': 0.5009999871253967, 'l1_dist': 0.00045141944428905845}
3200: {'eps': 0.6261068997312542, 'loss': 0.10783430933952332, 'states_visited': 51216, 'avg_traj_length': 3.6875, 'avg_reward': 0.500999927520752, 'max_traj_length': 13.0, 'max_reward': 2.500999689102173, 'l1_dist': 0.0004509275022428483}
3300: {'eps': 0.6112518790281489, 'loss': 0.12881049513816833, 'states_visited': 52816, 'avg_traj_length': 3.375, 'avg_reward': 0.532249927520752, 'max_traj_length': 13.0, 'max_reward': 2.500999689102173, 'l1_dist': 0.00045061082346364856}
3400: {'eps': 0.5687682688709239, 'loss': 0.08931711316108704, 'states_visited': 54416, 'avg_traj_length': 5.375, 'avg_reward': 0.43849995732307434, 'max_traj_length': 15.0, 'max_reward': 2.500999689102173, 'l1_dist': 0.000449280982138589}
3500: {'eps': 0.5372398118510032, 'loss': 0.04448830708861351, 'states_visited': 56016, 'avg_traj_length': 2.0, 'avg_reward': 0.43849998712539673, 'max_traj_length': 7.0, 'max_reward': 0.5009999871253967, 'l1_dist': 0.00044829375110566616}
3600: {'eps': 0.4944287442607058, 'loss': 0.16595983505249023, 'states_visited': 57616, 'avg_traj_length': 8.8125, 'avg_reward': 0.500999927520752, 'max_traj_length': 23.0, 'max_reward': 2.500999689102173, 'l1_dist': 0.00044588465243577957}
3700: {'eps': 0.44735524511437874, 'loss': 0.26202359795570374, 'states_visited': 59216, 'avg_traj_length': 7.3125, 'avg_reward': 0.594749927520752, 'max_traj_length': 17.0, 'max_reward': 2.500999689102173, 'l1_dist': 0.0004435441514942795}
3800: {'eps': 0.4047635127496183, 'loss': 0.42426827549934387, 'states_visited': 60816, 'avg_traj_length': 7.9375, 'avg_reward': 1.5009996891021729, 'max_traj_length': 24.0, 'max_reward': 2.500999689102173, 'l1_dist': 0.0004416483570821583}
3900: {'eps': 0.3662268477740143, 'loss': 0.37992987036705017, 'states_visited': 62416, 'avg_traj_length': 9.1875, 'avg_reward': 1.6572496891021729, 'max_traj_length': 23.0, 'max_reward': 2.500999689102173, 'l1_dist': 0.00043948314851149917}
4000: {'eps': 0.33135917592813624, 'loss': 0.5242310762405396, 'states_visited': 64016, 'avg_traj_length': 7.6875, 'avg_reward': 1.7822496891021729, 'max_traj_length': 20.0, 'max_reward': 2.500999689102173, 'l1_dist': 0.0004373240517452359}
4100: {'eps': 0.29981118025384745, 'loss': 0.4348241984844208, 'states_visited': 65616, 'avg_traj_length': 5.75, 'avg_reward': 1.4072498083114624, 'max_traj_length': 10.0, 'max_reward': 2.500999689102173, 'l1_dist': 0.000435118650784716}
