2500: {'eps': 0.7436772821951526, 'loss': 0.08644690364599228, 'states_visited': 40016, 'avg_traj_length': 4.6875, 'avg_reward': 0.532249927520752, 'max_traj_length': 21.0, 'max_reward': 2.500999689102173, 'l1_dist': 0.00045280068297870457}
2600: {'eps': 0.7340672721936974, 'loss': 0.028013722971081734, 'states_visited': 41616, 'avg_traj_length': 4.6875, 'avg_reward': 0.31349998712539673, 'max_traj_length': 14.0, 'max_reward': 0.5009999871253967, 'l1_dist': 0.0004525737604126334}
2700: {'eps': 0.7202448110511043, 'loss': 0.1514272391796112, 'states_visited': 43216, 'avg_traj_length': 2.6875, 'avg_reward': 0.532249927520752, 'max_traj_length': 8.0, 'max_reward': 2.500999689102173, 'l1_dist': 0.000452281441539526}
2800: {'eps': 0.7031562730010349, 'loss': 0.005744409281760454, 'states_visited': 44816, 'avg_traj_length': 2.6875, 'avg_reward': 0.43849998712539673, 'max_traj_length': 15.0, 'max_reward': 0.5009999871253967, 'l1_dist': 0.0004519119393080473}
2900: {'eps': 0.677602375588654, 'loss': 0.04313788563013077, 'states_visited': 46416, 'avg_traj_length': 4.5625, 'avg_reward': 0.37599998712539673, 'max_traj_length': 18.0, 'max_reward': 0.5009999871253967, 'l1_dist': 0.00045133940875530243}
3000: {'eps': 0.6661748299656206, 'loss': 0.14831160008907318, 'states_visited': 48016, 'avg_traj_length': 2.75, 'avg_reward': 0.532249927520752, 'max_traj_length': 11.0, 'max_reward': 2.500999689102173, 'l1_dist': 0.00045103486627340317}
3100: {'eps': 0.647123808418277, 'loss': 0.0033714931923896074, 'states_visited': 49616, 'avg_traj_length': 1.6875, 'avg_reward': 0.5009999871253967, 'max_traj_length': 3.0, 'max_reward': 0.5009999871253967, 'l1_dist': 0.00045059440890327096}
3200: {'eps': 0.632402542800493, 'loss': 0.011410575360059738, 'states_visited': 51216, 'avg_traj_length': 2.0625, 'avg_reward': 0.46974998712539673, 'max_traj_length': 8.0, 'max_reward': 0.5009999871253967, 'l1_dist': 0.000450200866907835}
3300: {'eps': 0.6248553120386914, 'loss': 0.13879592716693878, 'states_visited': 52816, 'avg_traj_length': 2.875, 'avg_reward': 0.532249927520752, 'max_traj_length': 9.0, 'max_reward': 2.500999689102173, 'l1_dist': 0.00045000220416113734}
3400: {'eps': 0.5961525594368005, 'loss': 0.21364432573318481, 'states_visited': 54416, 'avg_traj_length': 3.3125, 'avg_reward': 0.688499927520752, 'max_traj_length': 10.0, 'max_reward': 2.500999689102173, 'l1_dist': 0.0004493063024710864}
3500: {'eps': 0.5426418767371284, 'loss': 0.23239879310131073, 'states_visited': 56016, 'avg_traj_length': 8.75, 'avg_reward': 0.657249927520752, 'max_traj_length': 25.0, 'max_reward': 2.500999689102173, 'l1_dist': 0.0004464859375730157}
3600: {'eps': 0.49245399387890804, 'loss': 0.3369285464286804, 'states_visited': 57616, 'avg_traj_length': 7.0, 'avg_reward': 1.125999927520752, 'max_traj_length': 29.0, 'max_reward': 2.500999689102173, 'l1_dist': 0.0004431671113707125}
3700: {'eps': 0.4464609819793951, 'loss': 0.39761587977409363, 'states_visited': 59216, 'avg_traj_length': 5.25, 'avg_reward': 1.2197498083114624, 'max_traj_length': 15.0, 'max_reward': 2.500999689102173, 'l1_dist': 0.00044135571806691587}
3800: {'eps': 0.4039543904876318, 'loss': 0.25427553057670593, 'states_visited': 60816, 'avg_traj_length': 7.875, 'avg_reward': 1.032249927520752, 'max_traj_length': 28.0, 'max_reward': 2.500999689102173, 'l1_dist': 0.00043956947047263384}
3900: {'eps': 0.3654947603053141, 'loss': 0.284527450799942, 'states_visited': 62416, 'avg_traj_length': 9.6875, 'avg_reward': 0.719749927520752, 'max_traj_length': 22.0, 'max_reward': 2.500999689102173, 'l1_dist': 0.00043738956446759403}
4000: {'eps': 0.3306967889354559, 'loss': 0.346647173166275, 'states_visited': 64016, 'avg_traj_length': 6.4375, 'avg_reward': 1.282249927520752, 'max_traj_length': 25.0, 'max_reward': 2.500999689102173, 'l1_dist': 0.00043521696352399886}
4100: {'eps': 0.29921185770452, 'loss': 0.4912151098251343, 'states_visited': 65616, 'avg_traj_length': 6.25, 'avg_reward': 1.407249927520752, 'max_traj_length': 12.0, 'max_reward': 2.500999689102173, 'l1_dist': 0.00043309174361638725}
